Country,Country_label,ref_date,Relative_AI_hiring_index_pct
LU,Luxembourg,201801,-10.41
LU,Luxembourg,201802,-20.008
LU,Luxembourg,201803,-8.676
LU,Luxembourg,201804,9.649
LU,Luxembourg,201805,5.454
LU,Luxembourg,201806,16.651
LU,Luxembourg,201807,11.779
LU,Luxembourg,201808,29.914
LU,Luxembourg,201809,30.303
LU,Luxembourg,201810,27.653
LU,Luxembourg,201811,23.959
LU,Luxembourg,201812,19.25
LU,Luxembourg,201901,23.452
LU,Luxembourg,201902,27.083
LU,Luxembourg,201903,24.633
LU,Luxembourg,201904,19.072
LU,Luxembourg,201905,25.489
LU,Luxembourg,201906,22.478
LU,Luxembourg,201907,28.612
LU,Luxembourg,201908,12.946
LU,Luxembourg,201909,7.813
LU,Luxembourg,201910,7.046
LU,Luxembourg,201911,8.766
LU,Luxembourg,201912,20.062
LU,Luxembourg,202001,17.483
LU,Luxembourg,202002,20.066
LU,Luxembourg,202003,22.913
LU,Luxembourg,202004,21
LU,Luxembourg,202005,16.705
LU,Luxembourg,202006,15.753
LU,Luxembourg,202007,12.547
LU,Luxembourg,202008,17.765
LU,Luxembourg,202009,26.191
LU,Luxembourg,202010,27.036
LU,Luxembourg,202011,28.077
LU,Luxembourg,202012,15.838
LU,Luxembourg,202101,18.326
LU,Luxembourg,202102,13.074
LU,Luxembourg,202103,12.09
LU,Luxembourg,202104,22.915
LU,Luxembourg,202105,20.621
LU,Luxembourg,202106,17.773
LU,Luxembourg,202107,16.811
LU,Luxembourg,202108,15.396
LU,Luxembourg,202109,8.642
LU,Luxembourg,202110,9.204
LU,Luxembourg,202111,6.921
LU,Luxembourg,202112,19.144
LU,Luxembourg,202201,16.962
LU,Luxembourg,202202,21.566
LU,Luxembourg,202203,21.015
LU,Luxembourg,202204,13.827
LU,Luxembourg,202205,20.101
LU,Luxembourg,202206,18.929
LU,Luxembourg,202207,19.194
LU,Luxembourg,202208,18.036
LU,Luxembourg,202209,19.814
LU,Luxembourg,202210,18.89
LU,Luxembourg,202211,20.161
LU,Luxembourg,202212,12.189
LU,Luxembourg,202301,10.359
LU,Luxembourg,202302,8.354
LU,Luxembourg,202303,9.142
LU,Luxembourg,202304,7.547
LU,Luxembourg,202305,4.099
LU,Luxembourg,202306,8.732
LU,Luxembourg,202307,5.944
LU,Luxembourg,202308,5.32
LU,Luxembourg,202309,5.068
LU,Luxembourg,202310,6.924
LU,Luxembourg,202311,7.136
LU,Luxembourg,202312,5.802
LU,Luxembourg,202401,6.899
LU,Luxembourg,202402,6.429
LU,Luxembourg,202403,8.306
LU,Luxembourg,202404,10.831
LU,Luxembourg,202405,7.966
LU,Luxembourg,202406,3.806
LU,Luxembourg,202407,9.033
LU,Luxembourg,202408,8.514
LU,Luxembourg,202409,8.623
LU,Luxembourg,202410,5.881
LU,Luxembourg,202411,7.208
LU,Luxembourg,202412,9.148
LU,Luxembourg,202501,8.746
LU,Luxembourg,202502,7.979
IE,Ireland,201801,8.757
IE,Ireland,201802,26.607
IE,Ireland,201803,21.405
IE,Ireland,201804,26.717
IE,Ireland,201805,23.983
IE,Ireland,201806,24.606
IE,Ireland,201807,20.95
IE,Ireland,201808,25.049
IE,Ireland,201809,25.436
IE,Ireland,201810,26.983
IE,Ireland,201811,25.779
IE,Ireland,201812,25.234
IE,Ireland,201901,24.839
IE,Ireland,201902,20.476
IE,Ireland,201903,21.674
IE,Ireland,201904,16.953
IE,Ireland,201905,16.265
IE,Ireland,201906,13.362
IE,Ireland,201907,15.064
IE,Ireland,201908,11.179
IE,Ireland,201909,10.618
IE,Ireland,201910,8.242
IE,Ireland,201911,7.939
IE,Ireland,201912,9.708
IE,Ireland,202001,11.091
IE,Ireland,202002,11.911
IE,Ireland,202003,11.913
IE,Ireland,202004,18.349
IE,Ireland,202005,20.678
IE,Ireland,202006,24.243
IE,Ireland,202007,23.879
IE,Ireland,202008,24.255
IE,Ireland,202009,21.878
IE,Ireland,202010,19.637
IE,Ireland,202011,21.209
IE,Ireland,202012,18.726
IE,Ireland,202101,19.337
IE,Ireland,202102,22.162
IE,Ireland,202103,20.18
IE,Ireland,202104,14.096
IE,Ireland,202105,10.321
IE,Ireland,202106,6.846
IE,Ireland,202107,6.743
IE,Ireland,202108,5.355
IE,Ireland,202109,6.815
IE,Ireland,202110,9.465
IE,Ireland,202111,6.465
IE,Ireland,202112,7.43
IE,Ireland,202201,5.771
IE,Ireland,202202,1.927
IE,Ireland,202203,0.311
IE,Ireland,202204,1.997
IE,Ireland,202205,4.214
IE,Ireland,202206,4.887
IE,Ireland,202207,3.154
IE,Ireland,202208,4.822
IE,Ireland,202209,4.609
IE,Ireland,202210,4.825
IE,Ireland,202211,5.73
IE,Ireland,202212,3.083
IE,Ireland,202301,0.585
IE,Ireland,202302,0.616
IE,Ireland,202303,2.411
IE,Ireland,202304,0.622
IE,Ireland,202305,-1.698
IE,Ireland,202306,-3.319
IE,Ireland,202307,-2.385
IE,Ireland,202308,-5.126
IE,Ireland,202309,-6.1
IE,Ireland,202310,-9.022
IE,Ireland,202311,-9.656
IE,Ireland,202312,-8.821
IE,Ireland,202401,-6.231
IE,Ireland,202402,-2.49
IE,Ireland,202403,-0.693
IE,Ireland,202404,1.63
IE,Ireland,202405,3.61
IE,Ireland,202406,8.108
IE,Ireland,202407,8.992
IE,Ireland,202408,13.51
IE,Ireland,202409,14.671
IE,Ireland,202410,17.48
IE,Ireland,202411,21.64
IE,Ireland,202412,24.579
IE,Ireland,202501,27.344
IE,Ireland,202502,25.903
CH,Switzerland,201801,6.062
CH,Switzerland,201802,25.363
CH,Switzerland,201803,21.739
CH,Switzerland,201804,17.686
CH,Switzerland,201805,11.204
CH,Switzerland,201806,12.478
CH,Switzerland,201807,14.51
CH,Switzerland,201808,16.234
CH,Switzerland,201809,19.859
CH,Switzerland,201810,21.201
CH,Switzerland,201811,19.316
CH,Switzerland,201812,20.874
CH,Switzerland,201901,21.052
CH,Switzerland,201902,19.586
CH,Switzerland,201903,20.419
CH,Switzerland,201904,22.24
CH,Switzerland,201905,25.817
CH,Switzerland,201906,24.783
CH,Switzerland,201907,24.145
CH,Switzerland,201908,22.267
CH,Switzerland,201909,17.439
CH,Switzerland,201910,15.596
CH,Switzerland,201911,14.588
CH,Switzerland,201912,12.494
CH,Switzerland,202001,13.014
CH,Switzerland,202002,11.344
CH,Switzerland,202003,9.331
CH,Switzerland,202004,6.879
CH,Switzerland,202005,5.67
CH,Switzerland,202006,6.113
CH,Switzerland,202007,5.007
CH,Switzerland,202008,5.695
CH,Switzerland,202009,7.269
CH,Switzerland,202010,8.145
CH,Switzerland,202011,10.345
CH,Switzerland,202012,9.399
CH,Switzerland,202101,8.823
CH,Switzerland,202102,8.413
CH,Switzerland,202103,9.624
CH,Switzerland,202104,11.674
CH,Switzerland,202105,11.032
CH,Switzerland,202106,10.32
CH,Switzerland,202107,10.567
CH,Switzerland,202108,10.122
CH,Switzerland,202109,9.967
CH,Switzerland,202110,7.516
CH,Switzerland,202111,6.498
CH,Switzerland,202112,6.404
CH,Switzerland,202201,5.64
CH,Switzerland,202202,5.511
CH,Switzerland,202203,4.754
CH,Switzerland,202204,2.636
CH,Switzerland,202205,1.942
CH,Switzerland,202206,1.51
CH,Switzerland,202207,1.346
CH,Switzerland,202208,0.877
CH,Switzerland,202209,0.372
CH,Switzerland,202210,1.278
CH,Switzerland,202211,1.229
CH,Switzerland,202212,0.701
CH,Switzerland,202301,0.961
CH,Switzerland,202302,0.901
CH,Switzerland,202303,-0.283
CH,Switzerland,202304,-0.396
CH,Switzerland,202305,-0.797
CH,Switzerland,202306,0.132
CH,Switzerland,202307,-1.272
CH,Switzerland,202308,-2.235
CH,Switzerland,202309,-2.928
CH,Switzerland,202310,-3.752
CH,Switzerland,202311,-3.761
CH,Switzerland,202312,-2.713
CH,Switzerland,202401,-2.461
CH,Switzerland,202402,-3.025
CH,Switzerland,202403,-0.487
CH,Switzerland,202404,1.293
CH,Switzerland,202405,3.213
CH,Switzerland,202406,3.426
CH,Switzerland,202407,6.801
CH,Switzerland,202408,8.836
CH,Switzerland,202409,10.879
CH,Switzerland,202410,13.619
CH,Switzerland,202411,15.095
CH,Switzerland,202412,18.43
CH,Switzerland,202501,19.566
CH,Switzerland,202502,22.373
DE,Germany,201801,29.927
DE,Germany,201802,18.495
DE,Germany,201803,16.663
DE,Germany,201804,14.406
DE,Germany,201805,16.458
DE,Germany,201806,14.147
DE,Germany,201807,14.741
DE,Germany,201808,15.651
DE,Germany,201809,14.908
DE,Germany,201810,15.524
DE,Germany,201811,15.384
DE,Germany,201812,14.508
DE,Germany,201901,12.385
DE,Germany,201902,13.197
DE,Germany,201903,13.657
DE,Germany,201904,14.377
DE,Germany,201905,13.47
DE,Germany,201906,13.883
DE,Germany,201907,13.945
DE,Germany,201908,13.934
DE,Germany,201909,14.935
DE,Germany,201910,13.946
DE,Germany,201911,14.405
DE,Germany,201912,16.13
DE,Germany,202001,17.662
DE,Germany,202002,17.494
DE,Germany,202003,17.056
DE,Germany,202004,16.691
DE,Germany,202005,17.105
DE,Germany,202006,17.6
DE,Germany,202007,16.401
DE,Germany,202008,15.077
DE,Germany,202009,13.568
DE,Germany,202010,13.389
DE,Germany,202011,12.508
DE,Germany,202012,9.978
DE,Germany,202101,8.56
DE,Germany,202102,7.511
DE,Germany,202103,6.325
DE,Germany,202104,5.304
DE,Germany,202105,3.706
DE,Germany,202106,2.989
DE,Germany,202107,3.442
DE,Germany,202108,3.754
DE,Germany,202109,3.66
DE,Germany,202110,4.039
DE,Germany,202111,3.744
DE,Germany,202112,5.406
DE,Germany,202201,5.371
DE,Germany,202202,6.313
DE,Germany,202203,7.202
DE,Germany,202204,8.294
